isim,takim,ülke,maas,pozisyon,yas,sezon,macsayisi,golsayisi,dakika,ilkonbir
Laurentiu Marinescu,Dacia Mioveni,Romanya,0-500,Ortasaha,30-40,12,292,0-100,19802,222
Tiberiu Balan,Farul Constanta,Romanya,500-1000,Ortasaha,30-40,7,87,0-100,5315,60
Marius Bilasco,Rapid Bucarest,Romanya,1000-10000,Forvet,30-40,4,71,0-100,5073,60
Raul Rusescu,Academica Clinceni,Romanya,0-500,Forvet,30-40,12,345,100-200,20553,225
Cristian Danalache,Sportul Snagov,Romanya,500-1000,Forvet,30-40,4,82,0-100,5692,77
Douglas Silva,Brusque,Brezilya,0-500,Defans,30-40,11,161,0-100,11924,150
Omri Kende,Maccabi Netanya,Ýsrail,0-500,Defans,30-40,5,27,0-100,2077,22
Yehuda Huta,Hapoel Jerusalem,Ýsrail,0-500,Defans,30-40,2,23,0-100,1639,18
Avihai Yadin,Hapoel Raanana,Ýsrail,500-1000,Ortasaha,30-40,11,160,0-100,11615,140
Etey Shechter,Maccabi Tel Aviv,Ýsrail,1000-10000,Forvet,30-40,12,362,0-100,20315,255
Samuel Yeboah,Ashdod,Gana,500-1000,Forvet,30-40,2,28,0-100,1191,16
Eran Zahavi,PSV Eindhoven,Ýsrail,1000-10000,Ortasaha,30-40,12,372,200-500,22777,344
Maaran Lala,Hapoel Tel Aviv,Ýsrail,0-500,Forvet,30-40,3,27,0-100,537,13
Nemanja Supic,Crvena Zvezda,Bosna-Hersek,1000-10000,Kaleci,30-40,9,70,0-100,6244,70
Guilherme,America Mineiro,Brezilya,1000-10000,Ortasaha,30-40,12,280,0-100,15426,175
Costel Pantilimon,Denizlispor,Romanya,500-1000,Kaleci,30-40,12,234,0-100,20680,229
Florin Sandu,Gaz Metan Medias,Romanya,0-500,Defans,30-40,1,1,0-100,90,1
Eder Bonfim,Khazar Lankaran,Brezilya,0-500,Defans,30-40,11,192,0-100,16115,187
Iasmin Latovlevici,CFR Cluj,Romanya,0-500,Defans,30-40,12,287,0-100,22854,255
Marian Chitu,Berceni,Romanya,0-500,Ortasaha,30-40,7,85,0-100,5353,67
Cristian Scutaru,ASU Poli Timiþoara,Romanya,0-500,Defans,30-40,11,237,0-100,19583,225
Ioan Mera,ASU Poli Timiþoara,Romanya,500-1000,Defans,30-40,11,226,0-100,19220,220
Srdjan Luchin,Universitatea Cluj,Romanya,1000-10000,Defans,30-40,12,270,0-100,22313,250
Florin Maxim,Voluntari,Romanya,500-1000,Defans,30-40,6,95,0-100,7956,90
Claudiu Ionescu,Sportul Snagov,Romanya,0-500,Ortasaha,30-40,6,85,0-100,4147,41
Ionut Matei,FC Romania,Romanya,0-500,Ortasaha,30-40,4,24,0-100,520,6
Adrian Poparadu,Dumbravita,Romanya,0-500,Ortasaha,30-40,9,104,0-100,6746,79
Alexandru Bourceanu,Voluntari,Romanya,1000-10000,Ortasaha,30-40,11,328,0-100,25992,287
Alexandru Curtean,Hermannstadt,Romanya,0-500,Ortasaha,30-40,10,227,0-100,14441,174
Dejan Rusic,Krsko,Slovakya,500-1000,Forvet,30-40,3,9,0-100,227,1
Dorin Goga,Universitatea Cluj,Romanya,0-500,Forvet,30-40,10,217,0-100,14481,166
Mansour Gueye,Ripensia Timiþoara,Romanya,500-1000,Forvet,30-40,8,56,0-100,3227,34
Christian Mejia,Deportivo Pereira,Kolombiya,0-500,Forvet,30-40,8,187,0-100,10666,115
Ivan Tomecak,Rijeka,Hýrvatistan,1000-10000,Defans,30-40,13,298,0-100,21412,246
Luis Ibanez,Zrinjski Mostar,Arjantin,0-500,Defans,30-40,13,297,0-100,21710,248
Denis Glavina,Medimurje Cakovec,Hýrvatistan,500-1000,Defans,30-40,11,185,0-100,13881,159
Tomislav Barbaric,Zrinjski Mostar,Hýrvatistan,1000-10000,Defans,30-40,13,247,0-100,19712,221
Adrian Calello,Quilmes,Arjantin,0-500,Ortasaha,30-40,13,267,0-100,18578,201
Andrej Kramaric,Hoffenheim,Hýrvatistan,10000-50000,Forvet,25-30,13,398,100-200,25673,289
Milan Svenger,Viktoria Zizkov,Çek Cumhuriyeti,0-500,Kaleci,30-40,10,107,0-100,9585,106
Vladimir Svec,Usti Nad Labem,Çek Cumhuriyeti,0-500,Defans,30-40,1,4,0-100,360,4
Manuel Pamic,Novigrad,Hýrvatistan,500-1000,Defans,30-40,11,149,0-100,12003,139
Niklas Hoheneder,Chemnitzer FC,Avusturya,0-500,Defans,30-40,12,224,0-100,17043,187
Jan Krob,Jablonec,Çek Cumhuriyeti,0-500,Defans,30-40,10,213,0-100,18115,204
Ondrej Kusnir,Trinec,Çek Cumhuriyeti,0-500,Defans,30-40,12,194,0-100,15786,180
Martin Kuncl,Slovacko,Çek Cumhuriyeti,0-500,Defans,30-40,5,95,0-100,7711,87
Lubos Husek,Senica,Çek Cumhuriyeti,0-500,Defans,30-40,9,111,0-100,9014,102
Marek Strestik,Prostejov,Çek Cumhuriyeti,0-500,Ortasaha,30-40,10,187,0-100,12364,161
Juraj Kucka,Parma,Slovakya,1000-10000,Ortasaha,30-40,13,384,0-100,27670,319
Martin Jirous,Sigma Olomouc,Çek Cumhuriyeti,500-1000,Forvet,30-40,2,8,0-100,145,2
Wilfried Bony,Al Ittihad-Jeddah,Fildiþi Sahili,10000-50000,Forvet,30-40,11,319,100-200,20342,236
Vaclav Kadlec,Sparta Prag,Çek Cumhuriyeti,1000-10000,Forvet,25-30,11,233,0-100,14852,178
Ivan Karadzhov,Arda Kardzhali,Bulgaristan,0-500,Kaleci,30-40,10,142,0-100,12660,141
Hugo Baez,CSKA Sofia,Paraguay,0-500,Defans,30-40,1,1,0-100,90,1
Pavel Vidanov,OFK Pirin,Bulgaristan,0-500,Defans,30-40,11,157,0-100,12758,142
Apostol Popov,Botev Vratsa,Bulgaristan,0-500,Defans,30-40,11,158,0-100,12644,145
Tomi Kostadinov,Sportist Svoge,Bulgaristan,0-500,Ortasaha,25-30,5,79,0-100,4289,46
Todor Timonov,Lokomotiv Plovdiv,Bulgaristan,0-500,Ortasaha,30-40,4,26,0-100,906,10
Atanas Zehirov,Botev Vratsa,Bulgaristan,0-500,Ortasaha,30-40,8,165,0-100,11282,136
Kosta Yanev,Zagorets,Bulgaristan,500-1000,Ortasaha,30-40,8,46,0-100,3590,40
Marquinhos,Caldense,Brezilya,0-500,Ortasaha,30-40,10,145,0-100,8556,111
Rui Miguel,Gil Vicente,Portekiz,0-500,Forvet,30-40,9,149,0-100,7684,92
Michel Platini,Gama,Brezilya,1000-10000,Forvet,30-40,12,106,0-100,4719,64
Spas Delev,Arda Kardzhali,Bulgaristan,500-1000,Forvet,30-40,12,250,0-100,16948,204
Jan Hanus,Jablonec,Çek Cumhuriyeti,0-500,Kaleci,30-40,11,136,0-100,12090,134
Ondrej Celustka,Sparta Prag,Çek Cumhuriyeti,500-1000,Defans,30-40,12,341,0-100,28401,319
Petr Trapp,Pribram,Çek Cumhuriyeti,0-500,Ortasaha,30-40,8,97,0-100,6450,75
Adam Hlousek,Kaiserslautern,Çek Cumhuriyeti,1000-10000,Ortasaha,30-40,12,290,0-100,23311,263
Vitali Trubilo,Slutsk,Belarus,0-500,Defans,30-40,12,201,0-100,16064,177
Ciprian Tatarusanu,Milan,Romanya,1000-10000,Kaleci,30-40,12,423,0-100,37626,420
Alexandru Iacob,Dacia Mioveni,Romanya,0-500,Defans,30-40,10,139,0-100,11401,125
Emil Ninu,Þirineaþa,Romanya,0-500,Defans,30-40,8,149,0-100,11489,127
Cristian Tanase,Academica Clinceni,Romanya,0-500,Ortasaha,30-40,12,362,0-100,25543,292
Mihai Onicas,Universitatea Cluj,Romanya,0-500,Ortasaha,30-40,8,126,0-100,9345,107
Krum Bibishkov,Minyor Pernik,Bulgaristan,1000-10000,Forvet,30-40,3,48,0-100,2685,26
Dario Flores,Central Espanol,Uruguay,500-1000,Defans,30-40,9,170,0-100,13907,159
George Curca,Farul Constanta,Romanya,0-500,Kaleci,30-40,4,62,0-100,5508,61
Zie Diabate,Gazelec Ajaccio,Fildiþi Sahili,0-500,Defans,30-40,10,183,0-100,15056,167
Dragos Grigore,Ludogorets Razgrad,Romanya,1000-10000,Defans,30-40,12,316,0-100,27148,306
Djakaridja Kone,Sivasspor,Burkina Faso,1000-10000,Ortasaha,30-40,8,187,0-100,14196,160
Laurentiu Rus,Universitatea Cluj,Romanya,0-500,Defans,30-40,12,268,0-100,20161,223
Gabriel Torje,AE Larissa,Romanya,500-1000,Ortasaha,30-40,12,334,0-100,21712,243
Vojislav Vranjkovic,FC Uni Craiova,Sýrbistan,0-500,Ortasaha,30-40,4,29,0-100,2298,26
Marius Alexe,FC Arges,Romanya,0-500,Forvet,30-40,11,223,0-100,15653,179
Cvetan Dimitrov,Levski Sofia,Bulgaristan,0-500,Kaleci,30-40,1,3,0-100,90,3
Viktor Genev,Botev Plovdiv,Bulgaristan,0-500,Defans,30-40,10,154,0-100,12505,141
Youssef Rabeh,Wydad Casablanca,Fas,0-500,Defans,30-40,4,32,0-100,2819,32
Chakib Benzoukane,Levski Sofia,Fas,0-500,Defans,30-40,3,9,0-100,664,6
Yordan Miliev,Levski Sofia,Bulgaristan,500-1000,Defans,30-40,7,56,0-100,4514,50
Rachid Tiberkanine,Al Kharitiyath,Fas,0-500,Ortasaha,30-40,5,75,0-100,5931,67
Georgi Sarmov,Septemvri Sofia,Bulgaristan,500-1000,Ortasaha,30-40,13,276,0-100,19993,229
Joaozinho,FC Sochi,Brezilya,1000-10000,Ortasaha,30-40,12,307,0-100,22004,247
Ze Soares,Itabaiana,Brezilya,0-500,Forvet,30-40,8,102,0-100,6114,69
Alexander Kirov,Shakhter Karagandy,Bulgaristan,0-500,Forvet,30-40,5,18,0-100,1097,11
Sinisa Stevanovic,Zeljeznicar,Sýrbistan,500-1000,Defans,30-40,9,174,0-100,14245,165
Rajko Brezancic,Partizan Belgrade,Sýrbistan,500-1000,Defans,30-40,12,237,0-100,19293,218
Aleksandar Kosoric,Zeljeznicar,Bosna-Hersek,0-500,Defans,30-40,9,200,0-100,17365,196
Branislav Jovanovic,Proleter Novi Sad,Sýrbistan,500-1000,Ortasaha,30-40,10,199,0-100,15483,184
Nikola Vujovic,Lovcen Cetinje,Karadað,500-1000,Ortasaha,30-40,7,56,0-100,1982,27
Cleo,Qingdao Huanghai,Brezilya,500-1000,Forvet,30-40,11,176,0-100,11587,137
Brana Ilic,Indija,Sýrbistan,500-1000,Forvet,30-40,12,292,0-100,20735,250
Maksim Bordachev,Torpedo Zhodino,Belarus,1000-10000,Defans,30-40,11,245,0-100,19770,223
Igor Shitov,Dinamo Minsk,Belarus,500-1000,Defans,30-40,12,264,0-100,21986,247
Sergei Krivets,Dinamo Brest,Belarus,1000-10000,Ortasaha,30-40,15,235,0-100,14416,170
Pavel Nekhajchik,BATE Borisov,Belarus,1000-10000,Ortasaha,30-40,13,297,0-100,19944,222
Aleksandr Pavlov,Dnepr Mogilev,Belarus,0-500,Ortasaha,30-40,11,202,0-100,11966,139
Aleksandr Alumona,Dinamo Bryansk,Rusya,0-500,Forvet,30-40,8,106,0-100,6139,78
Ogannes Goaryan,BATE Borisov,Ermenistan,0-500,Forvet,30-40,2,6,0-100,101,1
Stanislav Namasco,Keþla FK,Moldova,0-500,Kaleci,30-40,12,241,0-100,21186,237
Dmitri Stajila,KF Laçi,Moldova,0-500,Kaleci,25-30,7,78,0-100,6825,75
Dorin Arbanaþ,FC Sheriff,Romanya,0-500,Defans,30-40,4,22,0-100,1638,20
Sergio Da Costa,Operario MT,Brezilya,0-500,Defans,30-40,5,32,0-100,2675,30
Nadson Ferreira,SJK Seinajoki,Brezilya,500-1000,Defans,30-40,14,253,0-100,20775,231
Igor Karpovich,FC Sheriff,Belarus,0-500,Defans,30-40,1,4,0-100,360,4
Abdul Gafar Mamah,Dacia,Togo,500-1000,Defans,30-40,9,45,0-100,3791,42
Alexandru Scripcenco,Floreþti,Moldova,0-500,Defans,25-30,7,103,0-100,8398,93
Gerald Gansterer,Kapfenberger SV,Avusturya,0-500,Defans,30-40,1,22,0-100,1881,21
Rustam Tsynya,Real Pharm,Moldova,0-500,Defans,25-30,2,25,0-100,1898,22
Vladimir Volkov,Borac Banja Luka,Karadað,500-1000,Defans,30-40,11,190,0-100,14468,177
Benjamin Balima,FC Sheriff,Burkina Faso,0-500,Forvet,30-40,14,208,0-100,11723,149
Vitalie Bulat,OFK Beograd,Moldova,0-500,Ortasaha,30-40,4,10,0-100,506,6
Andrei Corneencov,FC Sheriff,Moldova,0-500,Ortasaha,30-40,6,46,0-100,3510,40
Vadim Costandachi,Speranta Nisporeni,Moldova,0-500,Ortasaha,25-30,2,14,0-100,1073,12
Artiom Haceaturau,FC Sheriff,Moldova,0-500,Ortasaha,25-30,2,11,0-100,720,6
Lucho Rodriguez,Aalborg,Arjantin,0-500,Ortasaha,30-40,4,27,0-100,2169,24
Florent Rouamba,St-Pryve St-Hilaire,Burkina Faso,0-500,Ortasaha,30-40,14,196,0-100,16086,184
Victor Truhanov,Dinamo-Auto,Moldova,0-500,Ortasaha,25-30,5,77,0-100,5441,63
Andrei Verbetchi,FC Sheriff,Moldova,0-500,Ortasaha,30-40,1,2,0-100,102,1
Amat Diedhiou,FC Sheriff,Moldova,0-500,Forvet,30-40,2,27,0-100,1325,21
Jymmy França,Paulista,Brezilya,0-500,Forvet,30-40,5,45,0-100,1993,26
Constantin Mandricenco,Floreþti,Moldova,0-500,Forvet,25-30,8,89,0-100,6440,75
Alexandru Suvorov,Sfintul Gheorghe,Moldova,0-500,Ortasaha,30-40,15,228,0-100,13130,147
Hugo Bargas,FAS,Hollanda,0-500,Forvet,30-40,10,226,0-100,13120,158
Pavel Chesnovskiy,Shakhtyor Soligorsk,Belarus,0-500,Kaleci,30-40,9,132,0-100,11589,130
Vladimirs Bespalovs,Ventspils,Letonya,0-500,Defans,30-40,3,9,0-100,735,8
Jean Ndeki,Ventspils,Kamerun,0-500,Defans,30-40,3,14,0-100,1175,13
Grigori Chirkin,Dinamo Bryansk,Rusya,0-500,Ortasaha,30-40,9,203,0-100,14909,173
Jevgenijs Kosmacovs,Daugava Daugavpils,Letonya,0-500,Ortasaha,30-40,6,43,0-100,3033,32
Artis Lazdins,Jelgava,Letonya,0-500,Ortasaha,30-40,12,149,0-100,10429,116
Aleksandr Mysikov,Dordoi Bishkek,Rusya,0-500,Ortasaha,30-40,2,5,0-100,242,3
Aleksejs Visnakovs,Riga FC,Letonya,0-500,Ortasaha,30-40,16,294,0-100,19414,214
Jurijs Zigajevs,Spartaks Jurmala,Letonya,0-500,Ortasaha,30-40,11,135,0-100,7815,83
Aleksandru Dedov,FC Sheriff,Moldova,0-500,Forvet,30-40,6,33,0-100,1952,26
Edgars Gauracs,Spartaks Jurmala,Letonya,0-500,Forvet,30-40,11,140,0-100,7166,77
Joao Martins,Mondorf-les-Bains,Mozambik,0-500,Forvet,30-40,6,34,0-100,1407,16
Aleksandrs Solovjovs,Rigas Skola,Letonya,0-500,Defans,30-40,10,147,0-100,11341,133
Eduards Visnakovs,Spartaks Jurmala,Letonya,500-1000,Forvet,30-40,12,169,0-100,9100,106
Victor Mare,Hapoel Tel Aviv,Ýsrail,0-500,Forvet,30-40,2,11,0-100,444,2
Roy Gordana,Ashdod,Ýsrail,0-500,Ortasaha,30-40,10,219,0-100,13964,166
Dorge Rostand,Sprimont-Comblain,Kamerun,500-1000,Forvet,30-40,10,227,0-100,15459,173
Linus Bolin,IK Brage,Ýsveç,0-500,Ortasaha,30-40,4,66,0-100,4765,55
Toni Lehtinen,SJK Akatemia,Finlandiya,0-500,Forvet,30-40,12,143,0-100,8209,98
Dinei Telmario,Jacuipense,Brezilya,0-500,Forvet,30-40,10,205,0-100,13044,149
Lukas Schmitz,VVV-Venlo,Almanya,500-1000,Defans,30-40,12,295,0-100,24067,270
Dmitriy Grachev,FK Ufa,Rusya,500-1000,Defans,30-40,4,39,0-100,2938,35
Astemir Sheriev,Spartak Nalchik,Rusya,0-500,Ortasaha,30-40,1,8,0-100,720,8
Artur Valikaev,Dinamo Bryansk,Rusya,0-500,Ortasaha,30-40,10,145,0-100,8849,109
Felipe,Boluspor,Brezilya,0-500,Defans,30-40,10,158,0-100,11777,133
Mark Van Maarel,Utrecht,Hollanda,500-1000,Defans,30-40,12,300,0-100,23798,263
Rizvan Utsiev,FC Akhmat Grozny,Rusya,1000-10000,Ortasaha,30-40,12,251,0-100,21739,246
Adlan Katsaev,SKA Khabarovsk,Rusya,0-500,Ortasaha,30-40,10,202,0-100,12422,141
Robin Nilsson,Angelholm,Ýsveç,0-500,Ortasaha,30-40,11,196,0-100,15356,176
Muamet Asanovski,Höllvikens GIF,Ýsveç,0-500,Ortasaha,25-30,6,79,0-100,5245,63
Pontus Jansson,Brentford,Ýsveç,1000-10000,Defans,25-30,12,353,0-100,29471,325
Koray Kurt,Payasspor,Türkiye,0-500,Ortasaha,30-40,15,361,0-100,26724,301
Greg Nwokolo,Arema Malang,Endonezya,0-500,Ortasaha,30-40,3,20,0-100,566,10
Adama Diomande,Los Angeles FC,Norveç,1000-10000,Forvet,30-40,11,222,0-100,11797,125
Matias Cahais,O Higgins,Arjantin,1000-10000,Defans,30-40,14,333,0-100,28179,314
Simen Wangberg,Tromsö,Norveç,0-500,Defans,25-30,12,228,0-100,18643,213
Arseniy Logashov,Rostov,Rusya,1000-10000,Defans,25-30,11,182,0-100,13648,149
Nathan Murphy,Warrenpoint Town,Ýrlanda,0-500,Defans,25-30,7,76,0-100,5421,62
Johannes Mononen,Kultsu,Finlandiya,0-500,Defans,25-30,6,70,0-100,5032,63
Dmitro Bezotosniy,Chornomorets Odessa,Ukrayna,500-1000,Kaleci,30-40,11,312,0-100,27773,313
Volodimir Zhuk,Metalurh Zaporizhya,Ukrayna,0-500,Kaleci,30-40,1,2,0-100,180,2
Dmytro Nevmyvaka,Granit Mikashevichi,Ukrayna,1000-10000,Defans,30-40,6,103,0-100,8523,96
Adolphe Teikeu,BB Erzurumspor,Kamerun,0-500,Defans,30-40,11,270,0-100,22238,253
Vitali Vernidub,Zorya Luhansk,Ukrayna,1000-10000,Defans,30-40,12,270,0-100,22761,262
Jan Tigorev,Dinamo Minsk,Belarus,500-1000,Ortasaha,30-40,11,127,0-100,10129,115
Andriy Nesterov,Mezokövesd-Zsory,Ukrayna,500-1000,Defans,30-40,11,176,0-100,14152,159
Evgen Opanasenko,Vorskla Poltava,Ukrayna,0-500,Defans,30-40,11,218,0-100,17366,195
Kim Pyungrae,Metalurh Zaporizhya,Güney Kore,0-500,Ortasaha,30-40,1,7,0-100,518,6
Taras Stepanenko,Shakhtar Donetsk,Ukrayna,1000-10000,Ortasaha,30-40,12,390,0-100,30390,351
Artem Semenenko,CSMS Iaþi,Ukrayna,0-500,Ortasaha,30-40,4,28,0-100,1635,17
Mindaugas Kalonas,JK Sillamae Kalev,Letonya,500-1000,Ortasaha,30-40,10,114,0-100,7431,78
Maksim Ivanovich Beliy,Zorya Luhansk,Ukrayna,0-500,Ortasaha,30-40,5,63,0-100,4952,56
Vasile Caraus,Academia UTM,Moldova,0-500,Ortasaha,30-40,4,27,0-100,1789,20
Igor Bugaev,Floreþti,Moldova,0-500,Forvet,30-40,14,197,0-100,12144,139
Artur Kaskov,Sumy,Ukrayna,0-500,Forvet,25-30,9,108,0-100,6091,71
Sergiy Silyuk,Arsenal Kiev,Ukrayna,500-1000,Forvet,30-40,7,88,0-100,5153,62
Maksim Koval,Al Fateh,Ukrayna,1000-10000,Kaleci,25-30,12,232,0-100,20735,228
Bogdan Kogut,Veres Rivne,Ukrayna,0-500,Kaleci,30-40,7,90,0-100,8014,90
Volodimir Fedoriv,Rukh Vynnyky,Ukrayna,0-500,Defans,30-40,4,65,0-100,5308,59
Ivan Milosevic,Mladost Lucani,Sýrbistan,500-1000,Defans,30-40,11,250,0-100,21783,247
Taras Petrivskiy,Karpaty Lviv,Ukrayna,500-1000,Defans,30-40,3,39,0-100,2688,30
Andriy Gurskiy,Mykolaiv,Ukrayna,0-500,Defans,30-40,6,72,0-100,5085,58
Andriy Sagaydak,Bukovyna,Ukrayna,0-500,Defans,30-40,1,1,0-100,58,1
Nemanja Tubic,SKA Khabarovsk,Sýrbistan,1000-10000,Defans,30-40,9,161,0-100,13756,157
Igor Oshchipko,Minai,Ukrayna,500-1000,Ortasaha,30-40,8,151,0-100,12337,139
Denis Kozhanov,Minai,Ukrayna,1000-10000,Ortasaha,30-40,12,309,0-100,23398,289
Mladen Kascelan,Baltika Kaliningrad,Karadað,500-1000,Ortasaha,30-40,13,292,0-100,23723,264
Igor Khudobyak,Ethnikos Achna,Ukrayna,500-1000,Ortasaha,30-40,12,303,0-100,23835,266
Oleg Zhenyukh,Volyn Lutsk,Ukrayna,0-500,Ortasaha,30-40,1,4,0-100,180,2
Andriy Tkachuk,Minai,Ukrayna,500-1000,Ortasaha,30-40,12,298,0-100,22464,250
Oleg Golodyuk,Minai,Ukrayna,500-1000,Ortasaha,30-40,12,237,0-100,16504,202
Sergey Zenjov,Shakhter Karagandy,Estonya,500-1000,Forvet,30-40,14,382,0-100,24301,282
Mykhaylo Kopolovets,Minai,Ukrayna,0-500,Forvet,30-40,8,159,0-100,7134,66
Sergey Kuznetsov,Balkany Zorya,Ukrayna,500-1000,Forvet,30-40,7,89,0-100,6189,74
Vitali Rudenko,Metalurh Zaporizhya,Ukrayna,500-1000,Kaleci,30-40,3,35,0-100,3150,35
Evgeni Shiryaev,Zhemchuzhyna Odesa,Ukrayna,0-500,Kaleci,30-40,4,72,0-100,6315,71
Oleg Shandruk,Volyn Lutsk,Ukrayna,0-500,Defans,30-40,4,71,0-100,5772,61
Dmytro Grishko,Tavriya Symferopol,Ukrayna,500-1000,Defans,30-40,1,28,0-100,2462,27
Mirko Raicevic,OFK Titograd,Karadað,0-500,Ortasaha,30-40,9,209,0-100,14775,163
Volodimir Bondarenko,Chornomorets Odessa,Ukrayna,0-500,Ortasaha,30-40,2,23,0-100,1773,19
Sergiy Politylo,Olimpik Donetsk,Ukrayna,500-1000,Ortasaha,30-40,10,247,0-100,18912,212
Oleg Gumenyuk,FC Zaria Balti,Ukrayna,0-500,Ortasaha,30-40,14,148,0-100,9960,108
Vitaliy Balashov,FK Tambov,Ukrayna,0-500,Ortasaha,25-30,11,168,0-100,9577,107
Pavlo Rebenok,Vorskla Poltava,Ukrayna,0-500,Ortasaha,30-40,11,292,0-100,20968,227
Ruslan Leviga,Naftovyk-Ukrnafta,Ukrayna,0-500,Forvet,30-40,2,34,0-100,2264,26
Anatoliy Didenko,Chornomorets Odessa,Ukrayna,0-500,Forvet,30-40,9,196,0-100,9208,98
Denys Vasin,Vorskla Poltava,Ukrayna,0-500,Forvet,30-40,11,174,0-100,10614,120
Oleksandr Yakimenko,Chornomorets Odessa,Ukrayna,0-500,Forvet,30-40,1,9,0-100,359,5
Gauti Thorvardarson,ÝB Vestmannaeyjar,Ýzlanda,0-500,Defans,30-40,2,13,0-100,445,5
Arnor Olafsson,Fjölnir,Ýzlanda,0-500,Defans,30-40,4,24,0-100,1683,19
Thorarinn Valdimarsson,Stjarnan,Ýzlanda,0-500,Ortasaha,30-40,9,177,0-100,11530,141
Vidar Kjartansson,Valerenga,Ýzlanda,1000-10000,Forvet,30-40,8,286,100-200,19069,228
Tony Mawejje,KF Tirana,Uganda,0-500,Ortasaha,30-40,8,116,0-100,8818,99
Andri Olafsson,ÝB Vestmannaeyjar,Ýzlanda,0-500,Ortasaha,30-40,6,27,0-100,1588,24
Eidur Sigurbjörnsson,Valur,Ýzlanda,0-500,Defans,30-40,9,164,0-100,13426,156
Stanislav Mikitsey,Chornomorets Odessa,Ukrayna,0-500,Defans,30-40,8,142,0-100,12051,136
Artem Savin,Shakhtar Sverdlovsk,Ukrayna,0-500,Defans,30-40,5,52,0-100,4510,50
Yarema Kavatsiv,Veres,Ukrayna,0-500,Defans,30-40,5,72,0-100,5049,57
Igor Chuchman,Irtysh Pavlodar,Ukrayna,0-500,Defans,30-40,3,42,0-100,3723,42
Oleksandr Sytnik,Hoverla Uzhhorod,Ukrayna,0-500,Ortasaha,30-40,2,10,0-100,288,4
Ivan Krivoshenko,Kolos Kovalivka,Ukrayna,0-500,Ortasaha,30-40,9,188,0-100,12835,148
Igor Tyshchenko,FK Mariupol,Ukrayna,0-500,Ortasaha,30-40,11,218,0-100,14880,158
Artur Zapadnya,Metalurh Zaporizhya,Ukrayna,0-500,Ortasaha,30-40,3,13,0-100,717,8
Oleksandr Kasyan,Surkhon,Ukrayna,0-500,Forvet,30-40,12,262,0-100,17420,212
Lima,FK Mariupol,Brezilya,0-500,Forvet,30-40,1,5,0-100,147,1
Andreas Bjelland,FC Copenhagen,Danimarka,1000-10000,Defans,30-40,13,323,0-100,26287,298
Augusto Fernandez,Cadiz,Arjantin,0-500,Ortasaha,30-40,13,315,0-100,22244,264
Oleksandr Nad,Budapest Honved,Ukrayna,0-500,Kaleci,30-40,9,141,0-100,12619,141
Olivier ter Horst,Helmond Sport,Hollanda,0-500,Defans,30-40,4,44,0-100,3410,37
Anton Shendrik,Oleksandria,Ukrayna,0-500,Defans,30-40,8,132,0-100,10588,118
Vadim Bolohan,Milsami,Moldova,0-500,Defans,30-40,14,236,0-100,19160,220
Vladislav Mikulyak,Minai,Ukrayna,0-500,Ortasaha,30-40,5,80,0-100,4688,56
Ruben Gomez,FC Zaria Balti,Arjantin,0-500,Ortasaha,30-40,9,200,0-100,15638,174
Sendley Bito,OFC Oostzaan,Curaçao,0-500,Forvet,30-40,4,15,0-100,963,10
Sergiy Davydov,Helios Kharkiv,Ukrayna,0-500,Forvet,30-40,4,39,0-100,2792,29
Oleksandr Artemenko,Tavriya Symferopol,Ukrayna,0-500,Forvet,30-40,1,11,0-100,750,9
Oleksandr Churilov,FK Ternopil,Ukrayna,0-500,Kaleci,30-40,3,14,0-100,1251,13
Andriy Komaritskiy,Arsenal Kiev,Ukrayna,0-500,Kaleci,30-40,1,2,0-100,180,2
Andriy Grinchenko,Hoverla Uzhhorod,Ukrayna,0-500,Defans,30-40,4,36,0-100,2313,24
Oleg Ermak,FC Zaria Balti,Ukrayna,0-500,Defans,30-40,6,76,0-100,5730,65
Vadim Milko,Kolos Kovalivka,Ukrayna,0-500,Ortasaha,30-40,12,214,0-100,15255,171
Mykyta Kamenyuka,Zorya Luhansk,Ukrayna,500-1000,Defans,30-40,11,246,0-100,20223,225
Sergiy Shevchuk,Pyunik,Ukrayna,0-500,Ortasaha,30-40,11,270,0-100,18897,221
Sergiy Kolesnichenko,Zorya Luhansk,Ukrayna,0-500,Ortasaha,30-40,1,10,0-100,249,1
Oleksandr Yanchenko,Shakhtar Sverdlovsk,Ukrayna,0-500,Ortasaha,30-40,1,24,0-100,1991,24
Vladislav Ogirya,Desna,Ukrayna,0-500,Ortasaha,30-40,8,175,0-100,14630,162
Igor Sikorskiy,Volyn Lutsk,Ukrayna,0-500,Ortasaha,30-40,8,169,0-100,10123,132
Oleksiy Antonov,Ventspils,Ukrayna,1000-10000,Forvet,30-40,10,214,0-100,14822,162
Taras Lazarovich,Zhemchuzhyna Odesa,Ukrayna,0-500,Forvet,30-40,7,150,0-100,9746,111
Vasil Kostyuk,Krylya Sovetov,Ukrayna,0-500,Forvet,30-40,1,1,0-100,90,1
Stephen Mulcahy,Cork City,Ýrlanda,0-500,Defans,30-40,2,7,0-100,411,5
Torgeir Börven,MKE Ankaragücü,Norveç,500-1000,Forvet,25-30,12,271,0-100,16450,180
Anders Nielsen,Husqvarna FF,Danimarka,0-500,Defans,30-40,5,28,0-100,1684,19
Andriy Tovt,Obolon Kiev,Ukrayna,0-500,Kaleci,30-40,1,8,0-100,720,8
